"pkid","id_sensor","time","temperature","humidity"
"324","1","2016-11-04 21:20:07","14.6","69.5"
"326","1","2016-11-04 21:20:27","14.6","68.9"
"328","1","2016-11-04 21:20:48","14.6","68.5"
"330","1","2016-11-04 21:21:08","14.6","68.2"
"332","1","2016-11-04 21:21:28","14.7","67.4"
"334","1","2016-11-04 21:21:48","14.6","66.8"
"336","1","2016-11-04 21:22:09","14.6","66.3"
"338","1","2016-11-04 21:22:29","14.6","66.1"
"340","1","2016-11-04 21:22:49","14.7","65.6"
"342","1","2016-11-04 21:23:10","14.6","64.7"
"344","1","2016-11-04 21:23:30","14.6","64.2"
"346","1","2016-11-04 21:23:50","14.6","63.6"
"348","1","2016-11-04 21:24:11","14.6","63.1"
"350","1","2016-11-04 21:24:31","14.7","62.6"
"352","1","2016-11-04 21:24:51","14.7","62.5"
"354","1","2016-11-04 21:25:12","14.7","62.5"
"356","1","2016-11-04 21:25:32","14.6","62.4"
"358","1","2016-11-04 21:25:52","14.6","62.5"
"360","1","2016-11-04 21:26:12","14.6","62.5"
"362","1","2016-11-04 21:26:33","14.6","63.1"
"364","1","2016-11-04 21:26:53","14.7","62.6"
"366","1","2016-11-04 21:27:13","14.7","62.6"
"368","1","2016-11-04 21:27:34","14.6","62.5"
"370","1","2016-11-04 21:27:54","14.7","62.6"
"372","1","2016-11-04 21:28:14","14.6","62.4"
"374","1","2016-11-04 21:28:35","14.7","62.5"
"376","1","2016-11-04 21:28:55","14.7","62.5"
"378","1","2016-11-04 21:29:15","14.6","62.4"
"380","1","2016-11-04 21:29:36","14.6","62.4"
"382","1","2016-11-04 21:29:56","14.7","62.5"
"384","1","2016-11-04 21:30:16","14.6","62.3"
"386","1","2016-11-04 21:30:37","14.6","62.3"
"388","1","2016-11-04 21:30:57","14.6","62.3"
"390","1","2016-11-04 21:31:17","14.7","62.5"
"392","1","2016-11-04 21:31:37","14.7","62.7"
"394","1","2016-11-04 21:31:58","14.7","62.6"
"396","1","2016-11-04 21:32:18","14.7","62.6"
"398","1","2016-11-04 21:32:38","14.7","62.5"
"400","1","2016-11-04 21:32:59","14.7","62.6"
"402","1","2016-11-04 21:33:19","14.7","62.6"
"404","1","2016-11-04 21:33:39","14.7","62.7"
"406","1","2016-11-04 21:34:00","14.7","62.7"
"408","1","2016-11-04 21:34:20","14.7","62.7"
"410","1","2016-11-04 21:34:40","14.7","62.7"
"412","1","2016-11-04 21:35:01","14.7","62.7"
"414","1","2016-11-04 21:35:21","14.7","62.6"
"416","1","2016-11-04 21:35:41","14.8","62.5"
"418","1","2016-11-04 21:36:02","14.8","62.5"
"420","1","2016-11-04 21:36:22","14.8","62.6"
"422","1","2016-11-04 21:36:42","14.8","63"
"424","1","2016-11-04 21:37:02","14.8","63.2"
"426","1","2016-11-04 21:37:23","14.9","62.9"
"428","1","2016-11-04 21:37:43","14.9","86.2"
"430","1","2016-11-04 21:38:03","15","98.1"
"432","1","2016-11-04 21:38:24","15.1","99.9"
"434","1","2016-11-04 21:38:44","15.1","99.9"
"436","1","2016-11-04 21:39:04","15.2","99.9"
"438","1","2016-11-04 21:39:25","15.2","93.1"
"440","1","2016-11-04 21:39:45","15.4","96.4"
"442","1","2016-11-04 21:40:05","15.5","98.7"
"444","1","2016-11-04 21:40:26","15.6","99.7"
"446","1","2016-11-04 21:40:46","15.7","99.9"
"448","1","2016-11-04 21:41:06","15.6","99.9"
"450","1","2016-11-04 21:41:26","15.6","99.9"
"452","1","2016-11-04 21:41:47","15.5","99.2"
"454","1","2016-11-04 21:42:07","15.3","97.5"
"456","1","2016-11-04 21:42:27","15.3","95.6"
"458","1","2016-11-04 21:42:48","15.3","94.9"
"460","1","2016-11-04 21:43:08","15.3","94.4"
"462","1","2016-11-04 21:43:28","15.2","87.1"
"464","1","2016-11-04 21:43:49","15.2","89.3"
"466","1","2016-11-04 21:44:09","15.2","86.5"
"468","1","2016-11-04 21:44:29","15.2","82"
"470","1","2016-11-04 21:44:49","15.2","83"
"472","1","2016-11-04 21:45:10","15.3","84"
"474","1","2016-11-04 21:45:30","15.2","85"
"476","1","2016-11-04 21:45:50","15.2","84.7"
"478","1","2016-11-04 21:46:11","15.2","81.7"
"480","1","2016-11-04 21:46:31","15.2","79.4"
"482","1","2016-11-04 21:46:51","15.2","79.7"
"483","1","2016-11-04 21:47:12","15.2","80.2"
"484","1","2016-11-04 21:47:32","15.1","80.5"
"487","1","2016-11-04 21:47:52","15.2","81.2"
"489","1","2016-11-04 21:48:12","15.1","78"
"491","1","2016-11-04 21:48:33","15.1","76.2"
"493","1","2016-11-04 21:48:53","15.1","73.9"
"495","1","2016-11-04 21:49:13","15.1","72.6"
"497","1","2016-11-04 21:49:34","15.1","72.5"
"499","1","2016-11-04 21:49:54","15.1","72.7"
"501","1","2016-11-04 21:50:14","15.1","73.4"
"503","1","2016-11-04 21:50:35","15.1","72"
"505","1","2016-11-04 21:50:55","15.1","72.7"
"507","1","2016-11-04 21:51:15","15.1","73.1"
"509","1","2016-11-04 21:51:35","15.1","72.7"
"511","1","2016-11-04 21:51:56","15.1","72.3"
"513","1","2016-11-04 21:52:16","15.1","72.2"
"515","1","2016-11-04 21:52:36","15.1","72.7"
"517","1","2016-11-04 21:52:57","15.1","72.5"
"519","1","2016-11-04 21:53:17","15.1","72.7"
"521","1","2016-11-04 21:53:37","15.1","73"
"523","1","2016-11-04 21:53:58","15.1","73"
"525","1","2016-11-04 21:54:18","15.1","73.5"
"527","1","2016-11-04 21:54:38","15.1","74.1"
"529","1","2016-11-04 21:54:59","15.1","74.9"
"531","1","2016-11-04 21:55:19","15.1","75.4"
"533","1","2016-11-04 21:55:39","15.1","76.5"
"535","1","2016-11-04 21:55:59","15.1","76"
"537","1","2016-11-04 21:56:20","15.2","75.2"
"539","1","2016-11-04 21:56:40","15.1","74.2"
"541","1","2016-11-04 21:57:00","15.1","73.8"
"543","1","2016-11-04 21:57:21","15.1","74.2"
"545","1","2016-11-04 21:57:41","15.1","75"
"547","1","2016-11-04 21:58:01","15.1","75.4"
"549","1","2016-11-04 21:58:22","15.1","76"
"551","1","2016-11-04 21:58:42","15.2","75.3"
"553","1","2016-11-04 21:59:02","15.1","74.7"
"555","1","2016-11-04 21:59:23","15.1","75.1"
"557","1","2016-11-04 21:59:43","15.1","75.6"
"559","1","2016-11-04 22:00:03","15.1","76"
"561","1","2016-11-04 22:00:24","15.1","76.4"
"563","1","2016-11-04 22:00:44","15.1","77.2"
"565","1","2016-11-04 22:01:04","15.1","76.4"
"567","1","2016-11-04 22:01:24","15.2","76.3"
"569","1","2016-11-04 22:01:45","15.1","76.5"
